Year,NPV
Utility Bills,1017127295.89383
Utility Bills (volumetric),942139312.3035052
Utility Bills (demand),55866830.581817314
Utility Bills (res),880573462.9136676
Utility Bills (work),78393818.29072987
Utility Bills (pub L2),25093901.271533623
Utility Bills (DCFC),33066113.417898893
Incremental upfront vehicle cost,38331255.13510227
Charging infrastructure cost,421381646.9911496
Charging infrastructure cost (res),217373461.64906505
Charging infrastructure cost (work L2),87213328.59390771
Charging infrastructure cost (public L2),52327997.15634462
Charging infrastructure cost (DCFC),64466859.59183225
Avoided vehicle gasoline,1138308313.9394758
Vehicle O&M Savings,261360357.73653305
Federal EV Tax Credit,128982987.51866594
Total Energy Supply Cost,407517069.73355055
Energy Cost,344801785.96987766
Generation Capacity Cost,62715283.76367287
Vehicle Sales (NPV),99393.40539496427
Transmission and Distribution Cost,30898107.174749415
Distribution Cost,22742229.43866248
Transmission Cost,8155877.736086944
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
