Year,NPV
Utility Bills,767475214.5161946
Utility Bills (volumetric),700615995.6935278
Utility Bills (demand),52532943.75316799
Utility Bills (res),655615153.5631194
Utility Bills (work),68640238.15557852
Utility Bills (pub L2),18325715.867263615
Utility Bills (DCFC),24894106.930233236
Incremental upfront vehicle cost,28496371.68440565
Charging infrastructure cost,313263410.6333186
Charging infrastructure cost (res),161599709.70881695
Charging infrastructure cost (work L2),64836104.65094041
Charging infrastructure cost (public L2),38901662.79056424
Charging infrastructure cost (DCFC),47925933.48299702
Avoided vehicle gasoline,846241741.355788
Vehicle O&M Savings,194300540.40863878
Federal EV Tax Credit,95889037.29716474
Total Energy Supply Cost,300996267.5600086
Energy Cost,255070451.87534246
Generation Capacity Cost,45925815.684666075
Vehicle Sales (NPV),73891.01900243363
Transmission and Distribution Cost,24847173.176278356
Distribution Cost,19071678.311233412
Transmission Cost,5775494.865044943
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
