Year,NPV
Utility Bills,1973285533.8569288
Utility Bills (volumetric),1802413897.285669
Utility Bills (demand),134184548.75989252
Utility Bills (res),1686128712.0428317
Utility Bills (work),175765316.4884023
Utility Bills (pub L2),48190434.49483111
Utility Bills (DCFC),63201070.83086356
Incremental upfront vehicle cost,73279360.36045423
Charging infrastructure cost,805569597.6296871
Charging infrastructure cost (res),415560224.57582235
Charging infrastructure cost (work L2),166728679.98101026
Charging infrastructure cost (public L2),100037207.98860618
Charging infrastructure cost (DCFC),123243485.08424821
Avoided vehicle gasoline,2176143788.242034
Vehicle O&M Savings,499651597.2931765
Federal EV Tax Credit,246581824.39981484
Total Energy Supply Cost,774328436.4087495
Energy Cost,656107917.6740484
Generation Capacity Cost,118220518.73470162
Vehicle Sales (NPV),190013.7529923637
Transmission and Distribution Cost,80251413.30723105
Distribution Cost,65464769.643746935
Transmission Cost,14786643.663484117
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
