Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,18140849.25587456,21904286.71321062,25670350.471462414,29494252.59089177,33278830.25294161,36971565.65005907,54222125.483004205,71470052.0650859,88868587.76503643,106393666.00777015,136604720.05987674,134166546.81856188,130391223.89879465,126622867.04121462,123094857.44508216,119552100.57986234,115100505.63334836,97823383.25712353,80654184.86171332,63504445.00960025
Utility Bills (res),15635499.526665688,18880753.27312507,22127015.371936567,25367320.89529538,28612116.238151774,31865614.09262534,46735738.62067095,61604765.02139412,76461555.95868203,91308852.34300536,118228513.98669264,116370895.18672471,113120648.14854366,109876113.26454794,106611645.8716157,103351745.73461643,99926728.46404031,85057395.90644567,70197770.96350057,55340576.865136474
Utility Bills (work),1431592.427898538,1727582.1031603855,2024290.2047824545,2384915.879808078,2701597.526164361,2917189.45571903,4277384.023069272,5636814.230689347,7157088.471991245,8814047.987119518,10606762.796150783,10158402.719161058,9859826.936894283,9557384.456043843,9514091.077917205,9453061.401085151,8705586.594912719,7306197.081523788,5943515.011688155,4582248.477246544
Utility Bills (pub L2),463756.0754640005,559748.1563480742,656063.2649930936,753908.4921538383,850736.3015858415,945264.2371712234,1385956.2741300203,1826365.4928154366,2271327.9591683308,2719554.6243079575,3281986.682123226,3221361.0777514586,3124583.8518676804,3029403.5002137483,2940848.8793796976,2851349.3474010034,2744770.0552076735,2307209.470511386,1870720.2915755943,1447808.1735238808
Utility Bills (DCFC),610001.2258463335,736203.1805770893,862981.6297502965,988107.3236344731,1114380.187039631,1243497.8645434745,1823046.5651339625,2402107.320187003,2978615.375194832,3551211.0533373146,4487456.594910106,4415887.834924666,4286164.96148904,4159965.8204090726,4028271.6161695635,3895944.0967597617,3723420.519187658,3152580.798642696,2642178.5949489996,2133811.493693351
Incremental upfront vehicle cost,8803725.869511744,11003579.298156317,6591815.315716012,3295887.587416713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,9574391.764978994,16780017.14275162,16795255.2567791,16810539.08514867,16825868.765003324,16841244.433897562,77225686.2973392,77296550.34794201,77367626.99069664,77438916.86337952,80490518.5735886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),5043380.997657965,8838219.527907291,8845466.562849468,8852735.33889647,8860025.921271605,8867338.375393875,40657665.38551746,40691367.34167401,40725170.403699026,40759074.87491012,42210374.17504674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),2046067.6520904324,3584746.9289106904,3586821.7943081525,3588902.884301807,3590990.2175654364,3593083.812828862,16470666.497970305,16480315.55075037,16489993.550688758,16499700.584626984,16915215.4432196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),1116945.8539015937,1956909.008088018,1958041.6745962498,1959177.7391040046,1960317.2118052843,1961460.1029246673,8991316.898592321,8996584.3048219,9001867.513270175,9007166.571343783,9233995.62954495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),1367997.2613290027,2400141.6778456196,2404925.225025232,2409723.1228463873,2414535.4143609996,2419362.1427501603,11106037.515259115,11128283.150695736,11150595.523038683,11172974.83249864,12130933.325777307,0,0,0,0,0,0,0,0,0
