Year,NPV
Utility Bills,352877161.4782871
Utility Bills (volumetric),322147006.80537736
Utility Bills (demand),24133155.294370107
Utility Bills (res),301356357.9783451
Utility Bills (work),31358755.079225965
Utility Bills (pub L2),8635762.349332929
Utility Bills (DCFC),11526286.07138308
Incremental upfront vehicle cost,13193729.122589555
Charging infrastructure cost,145041557.35338354
Charging infrastructure cost (res),74820974.5102756
Charging infrastructure cost (work L2),30019240.706810627
Charging infrastructure cost (public L2),18011544.424086373
Charging infrastructure cost (DCFC),22189797.712210916
Avoided vehicle gasoline,391810703.91654253
Vehicle O&M Savings,89961426.21737221
Federal EV Tax Credit,44396318.167656764
Total Energy Supply Cost,138539531.85101232
Energy Cost,117488492.26409465
Generation Capacity Cost,21051039.586917568
Vehicle Sales (NPV),34211.678401250436
Transmission and Distribution Cost,10140150.111256327
Distribution Cost,7500063.207505276
Transmission Cost,2640086.903751051
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
