Year,NPV
Utility Bills,275903216.649414
Utility Bills (volumetric),255203462.7392929
Utility Bills (demand),15553160.74936634
Utility Bills (res),238364228.27765065
Utility Bills (work),21406638.000010137
Utility Bills (pub L2),6730606.901666134
Utility Bills (DCFC),9401743.470087089
Incremental upfront vehicle cost,10387631.26025353
Charging infrastructure cost,114191450.79135758
Charging infrastructure cost (res),58906672.86299836
Charging infrastructure cost (work L2),23634195.804144006
Charging infrastructure cost (public L2),14180517.482486404
Charging infrastructure cost (DCFC),17470064.641728796
Avoided vehicle gasoline,308474275.0081545
Vehicle O&M Savings,70826897.53183089
Federal EV Tax Credit,34953922.28789355
Total Energy Supply Cost,110327417.1457805
Energy Cost,93451880.53137873
Generation Capacity Cost,16875536.614401694
Vehicle Sales (NPV),26934.91508893113
Transmission and Distribution Cost,16085321.63908295
Distribution Cost,13872645.892161693
Transmission Cost,2212675.7469212567
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
