Year,NPV
Utility Bills,498044203.4947863
Utility Bills (volumetric),404962968.3716267
Utility Bills (demand),82085000.18885002
Utility Bills (res),291908286.21378064
Utility Bills (work),173947632.13274044
Utility Bills (pub L2),12756468.383296646
Utility Bills (DCFC),19431816.764968485
Incremental upfront vehicle cost,17971942.285354745
Charging infrastructure cost,337960234.60262024
Charging infrastructure cost (res),101919331.98103823
Charging infrastructure cost (work L2),164618090.27801955
Charging infrastructure cost (public L2),26575452.782782886
Charging infrastructure cost (DCFC),44847359.56077959
Avoided vehicle gasoline,533713741.7603312
Vehicle O&M Savings,122543134.87999801
Federal EV Tax Credit,60474795.28932235
Total Energy Supply Cost,176688433.20671007
Energy Cost,154402934.16663146
Generation Capacity Cost,22285499.040078662
Vehicle Sales (NPV),46602.317891649254
Transmission and Distribution Cost,18279434.111531734
Distribution Cost,15204172.912283206
Transmission Cost,3075261.199248532
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
