Year,NPV
Utility Bills,125788844.96339051
Utility Bills (volumetric),115991468.9771933
Utility Bills (demand),7419196.445922302
Utility Bills (res),108414609.57658662
Utility Bills (work),10021344.9304362
Utility Bills (pub L2),3088746.716100235
Utility Bills (DCFC),4264143.740267457
Incremental upfront vehicle cost,4712244.517152246
Charging infrastructure cost,51806961.17627844
Charging infrastructure cost (res),26725081.50244917
Charging infrastructure cost (work L2),10722484.190214712
Charging infrastructure cost (public L2),6433490.514128828
Charging infrastructure cost (DCFC),7925904.969485724
Avoided vehicle gasoline,139947480.7961095
Vehicle O&M Savings,32132802.2752034
Federal EV Tax Credit,15856495.530827302
Total Energy Supply Cost,50188255.87643319
Energy Cost,42524019.84589012
Generation Capacity Cost,7664236.03054308
Vehicle Sales (NPV),12219.955441872953
Transmission and Distribution Cost,3767514.0107896025
Distribution Cost,2775523.169036217
Transmission Cost,991990.8417533861
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
