Year,NPV
Utility Bills,354382323.99778455
Utility Bills (volumetric),328158437.4496306
Utility Bills (demand),19521655.882263087
Utility Bills (res),306783676.55651766
Utility Bills (work),27214430.61877126
Utility Bills (pub L2),8790525.177541325
Utility Bills (DCFC),11593691.644954344
Incremental upfront vehicle cost,13380524.550693577
Charging infrastructure cost,147093419.58460456
Charging infrastructure cost (res),75879445.53401062
Charging infrastructure cost (work L2),30443914.04144968
Charging infrastructure cost (public L2),18266348.42486981
Charging infrastructure cost (DCFC),22503711.584274426
Avoided vehicle gasoline,397354390.28644097
Vehicle O&M Savings,91234181.66859321
Federal EV Tax Credit,45024876.566977784
Total Energy Supply Cost,142097900.69683725
Energy Cost,120214553.12745409
Generation Capacity Cost,21883347.569383185
Vehicle Sales (NPV),34695.66598820317
Transmission and Distribution Cost,20586619.34943926
Distribution Cost,17756650.569678295
Transmission Cost,2829968.77976097
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
