Year,NPV
Utility Bills,4303845.281979657
Utility Bills (volumetric),3848349.9937003306
Utility Bills (demand),365238.81865241565
Utility Bills (res),3663024.0503822514
Utility Bills (work),318824.45048443467
Utility Bills (pub L2),102446.74507222795
Utility Bills (DCFC),219550.03604074288
Incremental upfront vehicle cost,156935.93587922308
Charging infrastructure cost,1726810.3877202529
Charging infrastructure cost (res),890790.7718607819
Charging infrastructure cost (work L2),357398.25446870853
Charging infrastructure cost (public L2),214438.95268122514
Charging infrastructure cost (DCFC),264182.40870953735
Avoided vehicle gasoline,4663922.908828557
Vehicle O&M Savings,1070953.0923439516
Federal EV Tax Credit,528082.521362654
Total Energy Supply Cost,1704186.4339018394
Energy Cost,1431647.669126193
Generation Capacity Cost,272538.76477564714
Vehicle Sales (NPV),407.3069620202566
Transmission and Distribution Cost,195150.72303287857
Distribution Cost,161160.67317254783
Transmission Cost,33990.04986033074
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
