Year,NPV
Utility Bills,2190129437.7222576
Utility Bills (volumetric),1712591153.3617358
Utility Bills (demand),422499378.42415345
Utility Bills (res),1351423003.031692
Utility Bills (work),250465494.99768877
Utility Bills (pub L2),249907299.2597468
Utility Bills (DCFC),338333640.4331297
Incremental upfront vehicle cost,91083950.60799088
Charging infrastructure cost,1941651553.0696423
Charging infrastructure cost (res),516528460.075235
Charging infrastructure cost (work L2),241504612.01601657
Charging infrastructure cost (public L2),540416980.7445947
Charging infrastructure cost (DCFC),643201500.2337959
Avoided vehicle gasoline,2704879066.985461
Vehicle O&M Savings,621051413.2162845
Federal EV Tax Credit,306493487.4429055
Total Energy Supply Cost,1005266171.264388
Energy Cost,875620486.0305479
Generation Capacity Cost,129645685.23384085
Vehicle Sales (NPV),236181.19627465372
Transmission and Distribution Cost,207983639.73891282
Distribution Cost,185589393.68261772
Transmission Cost,22394246.05629508
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
