Year,NPV
Utility Bills,860878274.7801752
Utility Bills (volumetric),792866500.44288
Utility Bills (demand),48900688.7702324
Utility Bills (res),748716895.9645784
Utility Bills (work),60641089.477389626
Utility Bills (pub L2),16669637.40968834
Utility Bills (DCFC),34850651.928518794
Incremental upfront vehicle cost,49629253.70481448
Charging infrastructure cost,545578457.5973977
Charging infrastructure cost (res),281441487.6729249
Charging infrastructure cost (work L2),112918332.31337455
Charging infrastructure cost (public L2),67750999.38802472
Charging infrastructure cost (DCFC),83467638.22307356
Avoided vehicle gasoline,1473812068.8468103
Vehicle O&M Savings,338393187.4417314
Federal EV Tax Credit,167000255.76012778
Total Energy Supply Cost,565216168.0708945
Energy Cost,487007764.6054577
Generation Capacity Cost,78208403.46543686
Vehicle Sales (NPV),128688.341870775
Transmission and Distribution Cost,149885360.56665415
Distribution Cost,126163558.19115956
Transmission Cost,23721802.37549457
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
