Year,NPV
Utility Bills,2180659633.19634
Utility Bills (volumetric),1708426649.3615143
Utility Bills (demand),413336449.0976502
Utility Bills (res),1337476820.6070333
Utility Bills (work),691847114.3234253
Utility Bills (pub L2),58943400.39291459
Utility Bills (DCFC),92392297.87296705
Incremental upfront vehicle cost,91083950.60799088
Charging infrastructure cost,1712786734.333135
Charging infrastructure cost (res),516528460.075235
Charging infrastructure cost (work L2),834286541.397069
Charging infrastructure cost (public L2),134684727.24209145
Charging infrastructure cost (DCFC),227287005.61873943
Avoided vehicle gasoline,2704879066.985461
Vehicle O&M Savings,621051413.2162845
Federal EV Tax Credit,306493487.4429055
Total Energy Supply Cost,988861780.918032
Energy Cost,870170277.801024
Generation Capacity Cost,118691503.11700846
Vehicle Sales (NPV),236181.19627465372
Transmission and Distribution Cost,185180695.73454615
Distribution Cost,162023235.81119788
Transmission Cost,23157459.92334828
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
