Year,NPV
Utility Bills,481688428.55805004
Utility Bills (volumetric),409410808.295712
Utility Bills (demand),55878654.14213038
Utility Bills (res),308524117.32392
Utility Bills (work),43628944.07151181
Utility Bills (pub L2),55556169.98661558
Utility Bills (DCFC),73979197.17600255
Incremental upfront vehicle cost,18724679.25213828
Charging infrastructure cost,399163535.71732396
Charging infrastructure cost (res),106187606.02809402
Charging infrastructure cost (work L2),49648371.71536815
Charging infrastructure cost (public L2),111098595.24970551
Charging infrastructure cost (DCFC),132228962.72415623
Avoided vehicle gasoline,556065635.4708384
Vehicle O&M Savings,127675171.72099228
Federal EV Tax Credit,63007722.073203415
Total Energy Supply Cost,194055430.1886352
Energy Cost,165992845.8265148
Generation Capacity Cost,28062584.362120524
Vehicle Sales (NPV),48553.97668361018
Transmission and Distribution Cost,28737207.689183436
Distribution Cost,24589179.17087264
Transmission Cost,4148028.5183107997
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
