Year,NPV
Utility Bills,1002887363.2383354
Utility Bills (volumetric),935246097.6267403
Utility Bills (demand),44871047.875021204
Utility Bills (res),882136374.1845797
Utility Bills (work),60966767.89200555
Utility Bills (pub L2),19554159.14299693
Utility Bills (DCFC),40230062.018753216
Incremental upfront vehicle cost,58522521.54023576
Charging infrastructure cost,643347818.4477072
Charging infrastructure cost (res),331876680.8345301
Charging infrastructure cost (work L2),133153650.92382738
Charging infrastructure cost (public L2),79892190.55429643
Charging infrastructure cost (DCFC),98425296.13505326
Avoided vehicle gasoline,1737921197.051434
Vehicle O&M Savings,399034008.18320704
Federal EV Tax Credit,196925710.85345304
Total Energy Supply Cost,670656031.2462178
Energy Cost,577027415.1189293
Generation Capacity Cost,93628616.12728855
Vehicle Sales (NPV),151749.6800992467
Transmission and Distribution Cost,184283720.2653452
Distribution Cost,154868068.88941568
Transmission Cost,29415651.375929486
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
