Year,NPV
Utility Bills,489401394.14564025
Utility Bills (volumetric),409267083.49384767
Utility Bills (demand),63735344.53158498
Utility Bills (res),308524117.32392
Utility Bills (work),51341909.65910206
Utility Bills (pub L2),55556169.98661558
Utility Bills (DCFC),73979197.17600255
Incremental upfront vehicle cost,18724679.25213828
Charging infrastructure cost,399163535.71732396
Charging infrastructure cost (res),106187606.02809402
Charging infrastructure cost (work L2),49648371.71536815
Charging infrastructure cost (public L2),111098595.24970551
Charging infrastructure cost (DCFC),132228962.72415623
Avoided vehicle gasoline,556065635.4708384
Vehicle O&M Savings,127675171.72099228
Federal EV Tax Credit,63007722.073203415
Total Energy Supply Cost,192491031.96452403
Energy Cost,164969330.08594665
Generation Capacity Cost,27521701.87857753
Vehicle Sales (NPV),48553.97668361018
Transmission and Distribution Cost,27799007.01427578
Distribution Cost,23885761.163138557
Transmission Cost,3913245.8511372237
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
