Year,NPV
Utility Bills,107267189.73038273
Utility Bills (volumetric),98927009.11819571
Utility Bills (demand),6334579.308784682
Utility Bills (res),92406906.204186
Utility Bills (work),8294283.44067525
Utility Bills (pub L2),2606542.23905942
Utility Bills (DCFC),3959457.846462073
Incremental upfront vehicle cost,4042141.959083883
Charging infrastructure cost,44437261.504844256
Charging infrastructure cost (res),22923355.916019242
Charging infrastructure cost (work L2),9197177.12529288
Charging infrastructure cost (public L2),5518306.275175728
Charging infrastructure cost (DCFC),6798422.188356401
Avoided vehicle gasoline,120040839.90777177
Vehicle O&M Savings,27561961.78172996
Federal EV Tax Credit,13601629.897575263
Total Energy Supply Cost,42775422.807736255
Energy Cost,36253976.04027776
Generation Capacity Cost,6521446.767458505
Vehicle Sales (NPV),10481.636257987702
Transmission and Distribution Cost,6192942.58866746
Distribution Cost,5343708.23365052
Transmission Cost,849234.3550169409
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
