Year,NPV
Utility Bills,713001279.1475123
Utility Bills (volumetric),598499783.8933535
Utility Bills (demand),90721520.62299666
Utility Bills (res),449868324.79887617
Utility Bills (work),74713499.83197938
Utility Bills (pub L2),81566632.30764897
Utility Bills (DCFC),106852822.2090077
Incremental upfront vehicle cost,27363794.200250745
Charging infrastructure cost,583324382.2213207
Charging infrastructure cost (res),155179052.49073488
Charging infrastructure cost (work L2),72554486.57432786
Charging infrastructure cost (public L2),162355808.63926566
Charging infrastructure cost (DCFC),193235034.5169924
Avoided vehicle gasoline,812616882.0095074
Vehicle O&M Savings,186580379.78259218
Federal EV Tax Credit,92077963.87972017
Total Energy Supply Cost,280954513.3429236
Energy Cost,241234518.35122254
Generation Capacity Cost,39719994.99170118
Vehicle Sales (NPV),70955.17968113135
Transmission and Distribution Cost,35794277.3919862
Distribution Cost,30099392.791166548
Transmission Cost,5694884.600819652
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
