Year,NPV
Utility Bills,13963978.067285571
Utility Bills (volumetric),12552014.097880892
Utility Bills (demand),1151154.8604633885
Utility Bills (res),11859357.818666913
Utility Bills (work),1212569.1237707841
Utility Bills (pub L2),334154.5244651771
Utility Bills (DCFC),557896.6003826952
Incremental upfront vehicle cost,499278.4862706257
Charging infrastructure cost,5494211.248811247
Charging infrastructure cost (res),2834238.71306244
Charging infrastructure cost (work L2),1137138.0231338954
Charging infrastructure cost (public L2),682282.8138803372
Charging infrastructure cost (DCFC),840551.6987345739
Avoided vehicle gasoline,14838987.013085129
Vehicle O&M Savings,3407432.7623216514
Federal EV Tax Credit,1680050.145397117
Total Energy Supply Cost,5360290.936173481
Energy Cost,4515670.520284656
Generation Capacity Cost,844620.4158888257
Vehicle Sales (NPV),1295.9315235839179
Transmission and Distribution Cost,770977.1725415976
Distribution Cost,667542.3525831935
Transmission Cost,103434.81995840397
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
