Year,NPV
Utility Bills,127490448.50060272
Utility Bills (volumetric),115946817.2531603
Utility Bills (demand),9165451.707167488
Utility Bills (res),108414609.57658662
Utility Bills (work),11722948.467648407
Utility Bills (pub L2),3088746.716100235
Utility Bills (DCFC),4264143.740267457
Incremental upfront vehicle cost,4712244.517152246
Charging infrastructure cost,51806961.17627844
Charging infrastructure cost (res),26725081.50244917
Charging infrastructure cost (work L2),10722484.190214712
Charging infrastructure cost (public L2),6433490.514128828
Charging infrastructure cost (DCFC),7925904.969485724
Avoided vehicle gasoline,139947480.7961095
Vehicle O&M Savings,32132802.2752034
Federal EV Tax Credit,15856495.530827302
Total Energy Supply Cost,49858576.751606494
Energy Cost,42297200.39988548
Generation Capacity Cost,7561376.351721046
Vehicle Sales (NPV),12219.955441872953
Transmission and Distribution Cost,3622082.2719254666
Distribution Cost,2679680.2901330297
Transmission Cost,942401.9817924376
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
