Year,NPV
Utility Bills,31869909.875682607
Utility Bills (volumetric),29069937.189525418
Utility Bills (demand),2143380.5545604536
Utility Bills (res),27449017.744184982
Utility Bills (work),2362676.901302971
Utility Bills (pub L2),805653.6167326318
Utility Bills (DCFC),1252561.6134620172
Incremental upfront vehicle cost,1192990.875400466
Charging infrastructure cost,13117862.261459988
Charging infrastructure cost (res),6766966.257305944
Charging infrastructure cost (work L2),2715003.845928195
Charging infrastructure cost (public L2),1629002.307556917
Charging infrastructure cost (DCFC),2006889.8506689284
Avoided vehicle gasoline,35434579.851734355
Vehicle O&M Savings,8136118.338532888
Federal EV Tax Credit,4014361.8216860164
Total Energy Supply Cost,12691449.477535194
Energy Cost,10714334.079281311
Generation Capacity Cost,1977115.398253879
Vehicle Sales (NPV),3094.167255353255
Transmission and Distribution Cost,974803.8068811804
Distribution Cost,715157.8498497502
Transmission Cost,259645.95703143027
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
