Year,NPV
Utility Bills,1656899.8353498084
Utility Bills (volumetric),1425661.038549528
Utility Bills (demand),195952.15226986996
Utility Bills (res),1376227.0038682988
Utility Bills (work),123605.09226371186
Utility Bills (pub L2),39354.87738697205
Utility Bills (DCFC),117712.8618308256
Incremental upfront vehicle cost,59024.57765369011
Charging infrastructure cost,652858.5812363748
Charging infrastructure cost (res),336783.6733166444
Charging infrastructure cost (work L2),135123.18612787448
Charging infrastructure cost (public L2),81073.91167672467
Charging infrastructure cost (DCFC),99877.81011513117
Avoided vehicle gasoline,1761519.4866392636
Vehicle O&M Savings,404695.65831201716
Federal EV Tax Credit,198615.1075921487
Total Energy Supply Cost,615320.102380251
Energy Cost,524069.69075406506
Generation Capacity Cost,91250.41162618577
Vehicle Sales (NPV),153.9817818041046
Transmission and Distribution Cost,72475.37921593778
Distribution Cost,60269.075948449994
Transmission Cost,12206.30326748778
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
