Year,NPV
Utility Bills,10714270.33076842
Utility Bills (volumetric),9622169.811034288
Utility Bills (demand),877668.8051622354
Utility Bills (res),9035137.541558802
Utility Bills (work),875753.99637231
Utility Bills (pub L2),256971.2765636598
Utility Bills (DCFC),546407.5162736449
Incremental upfront vehicle cost,397200.6872695381
Charging infrastructure cost,4372059.986216567
Charging infrastructure cost (res),2255367.0283097513
Charging infrastructure cost (work L2),904886.460307952
Charging infrastructure cost (public L2),542931.8761847711
Charging infrastructure cost (DCFC),668874.6214140933
Avoided vehicle gasoline,11807636.378796538
Vehicle O&M Savings,2711422.3463538694
Federal EV Tax Credit,1336562.84167893
Total Energy Supply Cost,4188775.716269827
Energy Cost,3538407.7768656067
Generation Capacity Cost,650367.9394042229
Vehicle Sales (NPV),1031.2440514646657
Transmission and Distribution Cost,497580.4831431541
Distribution Cost,411511.3906759682
Transmission Cost,86069.09246718588
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
