Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,2111431.2064572712,2549479.9740253803,2987810.5284258667,3431976.1010643444,3872192.7501795245,4303145.005128263,6311179.121456999,8318927.671800476,10341849.366275335,12377650.710509287,15601621.630046055,15324513.067437347,14891416.772411559,14458970.450240416,14051688.527381806,13643447.838981498,13136922.756867822,11160401.781744763,9192717.70846175,7235827.221148444
Utility Bills (res),1781509.5858882493,2151270.90316015,2521145.7294140654,2890675.18664195,3260486.5129946047,3630763.960897289,5325232.2025579205,7019575.453884312,8713347.208925925,10406744.90485394,13344076.931105321,13134562.79997289,12765483.502818912,12397082.635734979,12024661.933607802,11652943.956687313,11267001.718302272,9578100.48696297,7887804.145450763,6207413.189345034
Utility Bills (work),197277.31654613517,238107.83271233054,279000.75456306606,326430.7243314531,369381.32453101245,401994.2521907833,589504.3110859239,776943.4781225411,980734.4101416292,1198603.411514837,1360750.2161115427,1307928.3480432497,1266886.4210839048,1225322.0071968648,1211271.16251978,1195433.0301063133,1106671.684369556,921109.5907192503,740155.6496580776,559331.5332050299
Utility Bills (pub L2),45521.950492296986,54944.681976885564,64398.893917428846,74004.27733699922,83509.76869006245,92786.36576181177,136048.93652228863,179283.94808848188,222966.70681395233,266978.54798560886,390171.2954767082,383291.04383026954,373669.91012296034,364190.8970127677,356376.906730134,348666.0876818344,336777.9856209311,294596.7997611977,252652.8226000514,210830.10941836302
Utility Bills (DCFC),87122.35353058971,105156.5561760141,123265.15053130647,140865.91275394178,158815.14396384524,177600.42627837785,260393.67129086683,343124.79170514,424801.04039382783,505323.8461549005,506623.18735248345,498730.8755909387,485376.9383857813,472374.9102958053,459378.5245240893,446404.7645060383,426471.3685750627,366594.90430134424,312105.0907528574,258252.3891800171
Incremental upfront vehicle cost,992390.7606042516,1240366.9299703185,743055.4644574565,371525.46980929404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,1100803.479741451,1929278.6082533305,1931048.1860589723,1932823.0725980313,1934603.2837967067,1936388.8356289738,8880391.904197084,8888622.14248745,8896877.071492687,8905156.765284948,9259535.30791707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),568509.8307769544,996279.0220515707,997095.9364608774,997915.3016134122,998737.1248614045,999561.4135791389,4583599.162429976,4587398.599917266,4591209.4357170155,4595031.7040241705,4758628.31837047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),228743.85447086213,400763.30271086027,400995.2660616511,401227.92530249467,401461.28252106,401695.3398112801,1841571.6140233264,1842650.466643175,1843732.5558208802,1844817.8912661218,1891271.2508953193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),137246.31268251737,240457.98162651603,240597.15963699072,240736.75518149664,240876.7695126361,241017.20388676826,1104942.9684139963,1105590.2799859042,1106239.5334925286,1106890.7347596735,1134762.7505371913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
