Year,NPV
Utility Bills,83973809.34057015
Utility Bills (volumetric),76312544.67193404
Utility Bills (demand),6133226.971880395
Utility Bills (res),71425687.645698
Utility Bills (work),7488269.5833387505
Utility Bills (pub L2),1999215.603818157
Utility Bills (DCFC),3060636.507715247
Incremental upfront vehicle cost,3084554.9875022536
Charging infrastructure cost,33912012.188724644
Charging infrastructure cost (res),17493812.987008832
Charging infrastructure cost (work L2),7018767.49992731
Charging infrastructure cost (public L2),4211260.499956386
Charging infrastructure cost (DCFC),5188171.20183212
Avoided vehicle gasoline,91607363.03406167
Vehicle O&M Savings,21033617.475242004
Federal EV Tax Credit,10379391.85793323
Total Energy Supply Cost,32675309.788940758
Energy Cost,27733785.357744362
Generation Capacity Cost,4941524.431196398
Vehicle Sales (NPV),7998.988167277352
Transmission and Distribution Cost,3186350.640000079
Distribution Cost,2563969.929509322
Transmission Cost,622380.7104907563
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
