Year,NPV
Utility Bills,46888322.62398371
Utility Bills (volumetric),43086199.57964173
Utility Bills (demand),2909802.2976819584
Utility Bills (res),40301805.64819125
Utility Bills (work),3542250.2383276233
Utility Bills (pub L2),1293326.4303747537
Utility Bills (DCFC),1750940.3070900748
Incremental upfront vehicle cost,1758238.0072840387
Charging infrastructure cost,19328482.97203896
Charging infrastructure cost (res),9970769.427168764
Charging infrastructure cost (work L2),4000414.673981556
Charging infrastructure cost (public L2),2400248.804388934
Charging infrastructure cost (DCFC),2957050.066499707
Avoided vehicle gasoline,52213468.06815447
Vehicle O&M Savings,11988424.307689972
Federal EV Tax Credit,5916393.557921415
Total Energy Supply Cost,18656325.8453963
Energy Cost,15798011.835466433
Generation Capacity Cost,2858314.0099298684
Vehicle Sales (NPV),4559.106662625482
Transmission and Distribution Cost,2013771.121321277
Distribution Cost,1637267.785856125
Transmission Cost,376503.33546515193
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
