Year,NPV
Utility Bills,276642788.2164674
Utility Bills (volumetric),252557867.6430106
Utility Bills (demand),18788455.74999586
Utility Bills (res),236362272.3934017
Utility Bills (work),24600726.927448556
Utility Bills (pub L2),6807778.995078888
Utility Bills (DCFC),8872009.900538241
Incremental upfront vehicle cost,18242760.935765795
Charging infrastructure cost,85077833.22147383
Charging infrastructure cost (res),43865559.48881111
Charging infrastructure cost (work L2),17576925.32458632
Charging infrastructure cost (public L2),10546155.194751792
Charging infrastructure cost (DCFC),13089193.213324595
Avoided vehicle gasoline,290396301.0253353
Vehicle O&M Savings,59635634.40863069
Federal EV Tax Credit,61386088.13592161
Total Energy Supply Cost,100713051.86806412
Energy Cost,83086536.13873783
Generation Capacity Cost,17626515.72932625
Vehicle Sales (NPV),20393.16477198567
Transmission and Distribution Cost,7896218.989867016
Distribution Cost,5896491.378225566
Transmission Cost,1999727.6116414515
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
