Year,NPV
Utility Bills,43836041.80572549
Utility Bills (volumetric),39326762.73557078
Utility Bills (demand),3628245.2200604565
Utility Bills (res),36933916.69930512
Utility Bills (work),3997816.1324323965
Utility Bills (pub L2),1075111.0475687762
Utility Bills (DCFC),1829197.9264192188
Incremental upfront vehicle cost,1608246.1393640735
Charging infrastructure cost,17679607.647410043
Charging infrastructure cost (res),9120182.461817874
Charging infrastructure cost (work L2),3659147.0714618023
Charging infrastructure cost (public L2),2195488.242877081
Charging infrastructure cost (DCFC),2704789.8712532865
Avoided vehicle gasoline,47759238.564710006
Vehicle O&M Savings,10965715.125043431
Federal EV Tax Credit,5411677.519804897
Total Energy Supply Cost,16984173.398844983
Energy Cost,14414340.141788865
Generation Capacity Cost,2569833.2570561077
Vehicle Sales (NPV),4170.178132164541
Transmission and Distribution Cost,1495822.3445279894
Distribution Cost,1165531.5023549218
Transmission Cost,330290.8421730672
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
