Year,NPV
Utility Bills,1872203289.912694
Utility Bills (volumetric),1713300691.8568237
Utility Bills (demand),124680692.4684124
Utility Bills (res),1601578775.2064042
Utility Bills (work),166763136.67197272
Utility Bills (pub L2),45406122.417705856
Utility Bills (DCFC),58455255.61661089
Incremental upfront vehicle cost,59907863.09810767
Charging infrastructure cost,796458993.4468436
Charging infrastructure cost (res),410887420.94392973
Charging infrastructure cost (work L2),164880826.58809304
Charging infrastructure cost (public L2),98928495.9528558
Charging infrastructure cost (DCFC),121762249.96196505
Avoided vehicle gasoline,2079204366.1967745
Vehicle O&M Savings,485801313.25538814
Federal EV Tax Credit,201587324.26105708
Total Energy Supply Cost,745020860.7998766
Energy Cost,634663396.4467684
Generation Capacity Cost,110357464.35310757
Vehicle Sales (NPV),187476.18204323662
Transmission and Distribution Cost,73475926.43994236
Distribution Cost,59321508.480017886
Transmission Cost,14154417.959924478
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
