Year,NPV
Utility Bills,181143205.46504217
Utility Bills (volumetric),165528237.1028208
Utility Bills (demand),12216172.545197742
Utility Bills (res),154692710.41681528
Utility Bills (work),16105503.37136983
Utility Bills (pub L2),4371454.397240642
Utility Bills (DCFC),5973537.279616422
Incremental upfront vehicle cost,11981294.856903166
Charging infrastructure cost,55877340.659299865
Charging infrastructure cost (res),28809981.975938797
Charging infrastructure cost (work L2),11544157.275294196
Charging infrastructure cost (public L2),6926494.365176517
Charging infrastructure cost (DCFC),8596707.042890362
Avoided vehicle gasoline,190725240.71717304
Vehicle O&M Savings,39167326.48812335
Federal EV Tax Credit,40316530.19288158
Total Energy Supply Cost,65956994.490303
Energy Cost,54448053.128841326
Generation Capacity Cost,11508941.361461727
Vehicle Sales (NPV),13393.798677903085
Transmission and Distribution Cost,6038935.465523221
Distribution Cost,4737305.850410883
Transmission Cost,1301629.6151123405
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
