Year,NPV
Utility Bills,457343948.9821892
Utility Bills (volumetric),423713451.6852
Utility Bills (demand),25007052.033495292
Utility Bills (res),396520682.073869
Utility Bills (work),35139567.046269864
Utility Bills (pub L2),11236484.26837251
Utility Bills (DCFC),14447215.59367799
Incremental upfront vehicle cost,17169208.02926457
Charging infrastructure cost,188745985.38061494
Charging infrastructure cost (res),97366291.7750278
Charging infrastructure cost (work L2),39064743.342094734
Charging infrastructure cost (public L2),23438846.00525684
Charging infrastructure cost (DCFC),28876104.25823558
Avoided vehicle gasoline,509871886.267228
Vehicle O&M Savings,117068850.58459258
Federal EV Tax Credit,57773629.82606916
Total Energy Supply Cost,183332082.75134736
Energy Cost,155074519.48482493
Generation Capacity Cost,28257563.266522508
Vehicle Sales (NPV),44520.45753458884
Transmission and Distribution Cost,13943277.849347372
Distribution Cost,10249062.924045818
Transmission Cost,3694214.925301549
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
