Year,NPV
Utility Bills,141945269.19582197
Utility Bills (volumetric),130936993.84277268
Utility Bills (demand),8291756.132959358
Utility Bills (res),122420818.40500069
Utility Bills (work),11046362.082556242
Utility Bills (pub L2),3498736.828089101
Utility Bills (DCFC),4979351.880175938
Incremental upfront vehicle cost,5336516.22668951
Charging infrastructure cost,58670440.46809378
Charging infrastructure cost (res),30265668.34562863
Charging infrastructure cost (work L2),12143018.204395948
Charging infrastructure cost (public L2),7285810.922637569
Charging infrastructure cost (DCFC),8975942.995431636
Avoided vehicle gasoline,158487888.49916887
Vehicle O&M Savings,36389803.90267249
Federal EV Tax Credit,17957142.37465485
Total Energy Supply Cost,56838669.15609984
Energy Cost,48116183.15491072
Generation Capacity Cost,8722486.001189087
Vehicle Sales (NPV),13838.876630949286
Transmission and Distribution Cost,4331109.051342392
Distribution Cost,3183817.935303909
Transmission Cost,1147291.116038484
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
