Year,NPV
Utility Bills,842101765.5646399
Utility Bills (volumetric),729028054.6393826
Utility Bills (demand),92861746.06304176
Utility Bills (res),708229135.0754286
Utility Bills (work),84136372.99703437
Utility Bills (pub L2),20801105.70952795
Utility Bills (DCFC),28935151.782648947
Incremental upfront vehicle cost,60722402.26972859
Charging infrastructure cost,283193157.29741704
Charging infrastructure cost (res),146012492.57887498
Charging infrastructure cost (work L2),58507193.64593384
Charging infrastructure cost (public L2),35104316.1875603
Charging infrastructure cost (DCFC),43569154.885047965
Avoided vehicle gasoline,966617230.5264238
Vehicle O&M Savings,198504605.47333494
Federal EV Tax Credit,204328212.74582875
Total Energy Supply Cost,360366859.6534304
Energy Cost,302553942.2763164
Generation Capacity Cost,57812917.3771139
Vehicle Sales (NPV),67881.39245859432
Transmission and Distribution Cost,51324430.6210086
Distribution Cost,43391490.69329624
Transmission Cost,7932939.927712366
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
