Year,NPV
Utility Bills,1014299415.9640055
Utility Bills (volumetric),932661567.4625751
Utility Bills (demand),58867630.764856495
Utility Bills (res),882136374.1845797
Utility Bills (work),72378820.61767554
Utility Bills (pub L2),19554159.14299693
Utility Bills (DCFC),40230062.018753216
Incremental upfront vehicle cost,58522521.54023576
Charging infrastructure cost,643347818.4477072
Charging infrastructure cost (res),331876680.8345301
Charging infrastructure cost (work L2),133153650.92382738
Charging infrastructure cost (public L2),79892190.55429643
Charging infrastructure cost (DCFC),98425296.13505326
Avoided vehicle gasoline,1737921197.051434
Vehicle O&M Savings,399034008.18320704
Federal EV Tax Credit,196925710.85345304
Total Energy Supply Cost,665422570.8625112
Energy Cost,573351802.6762793
Generation Capacity Cost,92070768.18623166
Vehicle Sales (NPV),151749.6800992467
Transmission and Distribution Cost,176120271.04730684
Distribution Cost,148235596.2575042
Transmission Cost,27884674.789802637
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
