Year,NPV
Utility Bills,1016725214.5166159
Utility Bills (volumetric),928409838.9302751
Utility Bills (demand),69331526.85135321
Utility Bills (res),868246350.3101548
Utility Bills (work),90728617.42679177
Utility Bills (pub L2),24582557.192931473
Utility Bills (DCFC),33167689.586737573
Incremental upfront vehicle cost,37795867.49544352
Charging infrastructure cost,415498475.48783135
Charging infrastructure cost (res),214338575.90158084
Charging infrastructure cost (work L2),85995689.68488425
Charging infrastructure cost (public L2),51597413.81093055
Charging infrastructure cost (DCFC),63566796.09043579
Avoided vehicle gasoline,1122414407.798907
Vehicle O&M Savings,257711198.51978213
Federal EV Tax Credit,127181431.66038895
Total Energy Supply Cost,399098356.671463
Energy Cost,338405126.15580934
Generation Capacity Cost,60693230.51565346
Vehicle Sales (NPV),98005.70533423705
Transmission and Distribution Cost,29272232.592536617
Distribution Cost,21642370.159855086
Transmission Cost,7629862.432681523
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
