Year,NPV
Utility Bills,12510751.644195884
Utility Bills (volumetric),11365103.960829223
Utility Bills (demand),897620.9655457938
Utility Bills (res),10686280.050603844
Utility Bills (work),1014771.8121409854
Utility Bills (pub L2),322244.39980422595
Utility Bills (DCFC),487455.3816468279
Incremental upfront vehicle cost,464558.1464743373
Charging infrastructure cost,5106933.2971145585
Charging infrastructure cost (res),2634456.851017339
Charging infrastructure cost (work L2),1056981.6022486812
Charging infrastructure cost (public L2),634188.9613492087
Charging infrastructure cost (DCFC),781305.8824993302
Avoided vehicle gasoline,13795738.600946026
Vehicle O&M Savings,3167557.607363582
Federal EV Tax Credit,1563217.7291664407
Total Energy Supply Cost,4883993.634418606
Energy Cost,4148517.530376196
Generation Capacity Cost,735476.1040424099
Vehicle Sales (NPV),1204.598087399861
Transmission and Distribution Cost,433213.4241804224
Distribution Cost,337549.76589268784
Transmission Cost,95663.65828773445
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
