Year,NPV
Utility Bills,1354414196.8300939
Utility Bills (volumetric),1254649999.802528
Utility Bills (demand),74232320.36903273
Utility Bills (res),1172584482.1482215
Utility Bills (work),104966178.57195286
Utility Bills (pub L2),32973521.362750027
Utility Bills (DCFC),43890014.747169584
Incremental upfront vehicle cost,51076397.46752378
Charging infrastructure cost,561492644.8560166
Charging infrastructure cost (res),289650963.4586908
Charging infrastructure cost (work L2),116212091.99132077
Charging infrastructure cost (public L2),69727255.19479246
Charging infrastructure cost (DCFC),85902334.21121259
Avoided vehicle gasoline,1516799311.7497184
Vehicle O&M Savings,348263574.06661105
Federal EV Tax Credit,171869830.86862236
Total Energy Supply Cost,542775421.5967157
Energy Cost,459261840.99029404
Generation Capacity Cost,83513580.60642193
Vehicle Sales (NPV),132442.08563546627
Transmission and Distribution Cost,46372499.96031217
Distribution Cost,35466194.36143717
Transmission Cost,10906305.598875012
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
