Year,NPV
Utility Bills,202498996.0185575
Utility Bills (volumetric),189168291.8193635
Utility Bills (demand),8817885.232569993
Utility Bills (res),178122852.25826997
Utility Bills (work),12328009.636721442
Utility Bills (pub L2),3957812.624209451
Utility Bills (DCFC),8090321.499356632
Incremental upfront vehicle cost,11863245.701595787
Charging infrastructure cost,130414623.40810703
Charging infrastructure cost (res),67275540.7052357
Charging infrastructure cost (work L2),26991905.064098883
Charging infrastructure cost (public L2),16195143.038459329
Charging infrastructure cost (DCFC),19952034.600313112
Avoided vehicle gasoline,352298298.96809894
Vehicle O&M Savings,80889168.8549423
Federal EV Tax Credit,39919299.97769728
Total Energy Supply Cost,135659703.4599351
Energy Cost,116769498.28165157
Generation Capacity Cost,18890205.17828358
Vehicle Sales (NPV),30761.5520479205
Transmission and Distribution Cost,37184269.0913031
Distribution Cost,31249174.8274699
Transmission Cost,5935094.263833197
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
