Year,NPV
Utility Bills,460779556.02764446
Utility Bills (volumetric),393681974.3827135
Utility Bills (demand),51427156.65423248
Utility Bills (res),296125132.36521304
Utility Bills (work),42185613.013728134
Utility Bills (pub L2),53280251.526204966
Utility Bills (DCFC),69188559.1224982
Incremental upfront vehicle cost,17971942.285354745
Charging infrastructure cost,383118917.6613363
Charging infrastructure cost (res),101919331.98103823
Charging infrastructure cost (work L2),47652726.07279096
Charging infrastructure cost (public L2),106632921.55596194
Charging infrastructure cost (DCFC),126913938.05154519
Avoided vehicle gasoline,533713741.7603312
Vehicle O&M Savings,122543134.87999801
Federal EV Tax Credit,60474795.28932235
Total Energy Supply Cost,186728736.51304126
Energy Cost,159827730.26559016
Generation Capacity Cost,26901006.247451097
Vehicle Sales (NPV),46602.317891649254
Transmission and Distribution Cost,27646891.02233662
Distribution Cost,23658561.669103194
Transmission Cost,3988329.3532334315
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
