Year,NPV
Utility Bills,626869709.7023745
Utility Bills (volumetric),513724346.5898478
Utility Bills (demand),99690518.3806139
Utility Bills (res),377301142.75382406
Utility Bills (work),210026284.0775322
Utility Bills (pub L2),15355387.481885824
Utility Bills (DCFC),24186895.389132243
Incremental upfront vehicle cost,23258461.2227376
Charging infrastructure cost,292070473.5684883
Charging infrastructure cost (res),131898996.99720785
Charging infrastructure cost (work L2),89302089.73110817
Charging infrastructure cost (public L2),31751854.126616236
Charging infrastructure cost (DCFC),39117532.713556014
Avoided vehicle gasoline,690706449.8621225
Vehicle O&M Savings,158589346.93473032
Federal EV Tax Credit,78263698.98460501
Total Energy Supply Cost,226770453.45576423
Energy Cost,195500773.6258234
Generation Capacity Cost,31269679.829940837
Vehicle Sales (NPV),60310.434235886525
Transmission and Distribution Cost,20947632.565251
Distribution Cost,16224805.627163991
Transmission Cost,4722826.938087006
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
