Year,NPV
Utility Bills,56206435.61280846
Utility Bills (volumetric),50918642.94079518
Utility Bills (demand),4198510.959975291
Utility Bills (res),47721726.77716216
Utility Bills (work),5140659.451027923
Utility Bills (pub L2),1388221.337478282
Utility Bills (DCFC),1955828.047140081
Incremental upfront vehicle cost,2092942.0829202584
Charging infrastructure cost,23011114.20923348
Charging infrastructure cost (res),11870488.049411282
Charging infrastructure cost (work L2),4762609.461046717
Charging infrastructure cost (public L2),2857565.67662803
Charging infrastructure cost (DCFC),3520451.0221474515
Avoided vehicle gasoline,62159956.87240109
Vehicle O&M Savings,14272373.434412112
Federal EV Tax Credit,7042658.050385131
Total Energy Supply Cost,21955344.041243233
Energy Cost,18641512.23627132
Generation Capacity Cost,3313831.8049719143
Vehicle Sales (NPV),5427.738438118905
Transmission and Distribution Cost,1905801.871681229
Distribution Cost,1489044.4570969415
Transmission Cost,416757.41458428773
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
