Year,NPV
Utility Bills,719925915.0450643
Utility Bills (volumetric),644735376.6274165
Utility Bills (demand),60476692.362850465
Utility Bills (res),537204986.2102871
Utility Bills (work),94172804.10724813
Utility Bills (pub L2),60440868.411265865
Utility Bills (DCFC),28107256.316263195
Incremental upfront vehicle cost,27363794.200250745
Charging infrastructure cost,438312164.1975046
Charging infrastructure cost (res),155179052.49073488
Charging infrastructure cost (work L2),105453953.56408203
Charging infrastructure cost (public L2),120896525.57345647
Charging infrastructure cost (DCFC),56782632.56923122
Avoided vehicle gasoline,812616882.0095074
Vehicle O&M Savings,186580379.78259218
Federal EV Tax Credit,92077963.87972017
Total Energy Supply Cost,285650263.34162134
Energy Cost,244043048.95104724
Generation Capacity Cost,41607214.39057415
Vehicle Sales (NPV),70955.17968113135
Transmission and Distribution Cost,26024874.774650853
Distribution Cost,20178998.34139874
Transmission Cost,5845876.433252115
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
