Year,NPV
Utility Bills,79545239.05333033
Utility Bills (volumetric),72489292.84032775
Utility Bills (demand),5604326.089235987
Utility Bills (res),67672947.62138264
Utility Bills (work),7141270.145797761
Utility Bills (pub L2),1933299.8574428654
Utility Bills (DCFC),2797721.4287070683
Incremental upfront vehicle cost,2972755.493358203
Charging infrastructure cost,32679792.89229809
Charging infrastructure cost (res),16858161.10494055
Charging infrastructure cost (work L2),6763734.288829004
Charging infrastructure cost (public L2),4058240.573297403
Charging infrastructure cost (DCFC),4999656.92523114
Avoided vehicle gasoline,88280354.18632276
Vehicle O&M Savings,20269527.828286245
Federal EV Tax Credit,10003191.47767045
Total Energy Supply Cost,31126247.29517349
Energy Cost,26436371.262845315
Generation Capacity Cost,4689876.032328172
Vehicle Sales (NPV),7708.347402330051
Transmission and Distribution Cost,3021008.351470999
Distribution Cost,2432150.666578371
Transmission Cost,588857.684892627
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
