Year,NPV
Utility Bills,47501119.146464765
Utility Bills (volumetric),43076416.00170833
Utility Bills (demand),3532382.398096435
Utility Bills (res),40301805.64819125
Utility Bills (work),4155046.7608086937
Utility Bills (pub L2),1293326.4303747537
Utility Bills (DCFC),1750940.3070900748
Incremental upfront vehicle cost,1758238.0072840387
Charging infrastructure cost,19328482.97203896
Charging infrastructure cost (res),9970769.427168764
Charging infrastructure cost (work L2),4000414.673981556
Charging infrastructure cost (public L2),2400248.804388934
Charging infrastructure cost (DCFC),2957050.066499707
Avoided vehicle gasoline,52213468.06815447
Vehicle O&M Savings,11988424.307689972
Federal EV Tax Credit,5916393.557921415
Total Energy Supply Cost,18546972.260856707
Energy Cost,15719002.657072097
Generation Capacity Cost,2827969.6037846063
Vehicle Sales (NPV),4559.106662625482
Transmission and Distribution Cost,1936317.7926904415
Distribution Cost,1576984.8733986504
Transmission Cost,359332.91929179075
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
