Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,1181408.7439608604,1426515.3562388704,1671785.3033547387,1920066.4339529143,2166333.6103645093,2407734.507192418,3531165.484347156,4654416.294823493,5785560.742629154,6923615.087199658,8881051.755171845,8725917.73617575,8483186.519130312,8240897.142164663,8012410.003819977,7783319.314366065,7499247.980527437,6387797.552865822,5278099.774277439,4171926.356246597
Utility Bills (res),1004675.1352976571,1213201.6273520389,1421801.4147585433,1630051.8005356505,1838589.410992358,2047551.5523007594,3003032.325799426,3958418.9532609275,4913140.707887689,5867570.808324976,7533311.064183748,7414342.067258463,7206050.413340393,6998163.20052306,6788743.140340219,6579751.023430076,6360291.908564733,5407357.79233548,4453976.543102826,3500554.309256205
Utility Bills (work),98219.2090027149,118546.90468464374,138908.18081105457,162458.34439364396,183822.15911814565,200145.13246043952,293487.81381617225,386793.3439706342,488087.8818866204,596237.6366586024,797323.7026409901,769458.516723874,749802.2596887312,729832.0637604529,725564.4197033582,720419.8330196417,673418.4418308851,581259.9231362304,491338.81902455224,401475.2558657882
Utility Bills (pub L2),35066.582917404005,42329.17900589556,49610.038718963944,56972.49206088357,64281.65346026826,71471.64220535627,104799.51070276467,138111.11086178184,171660.91838671072,205385.856249408,224392.42676143002,220828.46450728716,214673.58873106088,208638.19110643887,202739.96597288258,196783.01860878724,190517.09192180858,162773.6304749041,135054.24329934994,107423.01563556798
Utility Bills (DCFC),43447.81674308447,52437.6451962922,61465.66906617692,70583.7969627363,79640.38679373715,88566.18022586299,129845.83402879286,171092.88673014918,212671.23446813336,254420.78596667232,326024.5615856758,321288.68768612447,312660.2573701264,304263.6867747116,295362.4778035171,286365.43930755917,275020.53821001004,236406.20691920718,197730.16885071088,162473.775489036
Incremental upfront vehicle cost,565676.1381922471,707025.9042514283,423551.6515097431,211774.5361452346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,627472.8524775663,1099714.866298386,1100723.5495500488,1101735.2588514658,1102750.0032807875,1103767.7919433985,5061292.240979777,5065982.98454716,5070687.800345244,5075406.730590727,5277406.677759428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),324058.2826490875,567892.4997376353,568358.1519853536,568825.2011898151,569293.6515418899,569763.5072450216,2612377.37330082,2614542.8254207224,2616714.7738969834,2618893.2382186763,2712145.2370826034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),130387.08678978434,228440.49582708173,228572.71807026138,228705.33698016987,228838.35374680843,228971.7695637472,1049585.673900233,1050200.5553663776,1050817.2814769212,1051435.8577657968,1077914.820406172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),78232.25207387061,137064.29749624908,137143.63084215682,137223.20218810195,137303.01224808508,137383.06173824833,629751.4043401396,630120.3332198268,630490.3688861529,630861.5146594783,646748.8922437022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
