Year,NPV
Utility Bills,31359941.386910405
Utility Bills (volumetric),28288065.725704696
Utility Bills (demand),2480100.737611209
Utility Bills (res),26547423.01694243
Utility Bills (work),2949312.9357202235
Utility Bills (pub L2),798186.7938665166
Utility Bills (DCFC),1065018.6403812314
Incremental upfront vehicle cost,1156881.722012326
Charging infrastructure cost,12716915.188153027
Charging infrastructure cost (res),6560133.370362353
Charging infrastructure cost (work L2),2632018.7657408384
Charging infrastructure cost (public L2),1579211.259444503
Charging infrastructure cost (DCFC),1945551.7926053335
Avoided vehicle gasoline,34353567.65034354
Vehicle O&M Savings,7887669.916458538
Federal EV Tax Credit,3892856.1088061137
Total Energy Supply Cost,12082627.060051015
Energy Cost,10245391.561529506
Generation Capacity Cost,1837235.4985215054
Vehicle Sales (NPV),2999.6051101473495
Transmission and Distribution Cost,1043037.797733486
Distribution Cost,814208.9304816442
Transmission Cost,228828.8672518417
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
