Year,NPV
Utility Bills,485729979.6787847
Utility Bills (volumetric),443588621.3677947
Utility Bills (demand),33355013.06361256
Utility Bills (res),414577056.79918396
Utility Bills (work),43511802.936917625
Utility Bills (pub L2),11888000.439231463
Utility Bills (DCFC),15753119.503451642
Incremental upfront vehicle cost,17971942.285354745
Charging infrastructure cost,193685314.43887824
Charging infrastructure cost (res),101919331.98103823
Charging infrastructure cost (work L2),41230601.65575111
Charging infrastructure cost (public L2),22507735.521945477
Charging infrastructure cost (DCFC),28027645.280143425
Avoided vehicle gasoline,533713741.7603312
Vehicle O&M Savings,122543134.87999801
Federal EV Tax Credit,60474795.28932235
Total Energy Supply Cost,190498792.9429434
Energy Cost,161541970.18782753
Generation Capacity Cost,28956822.755115878
Vehicle Sales (NPV),46602.317891649254
Transmission and Distribution Cost,18499088.33858021
Distribution Cost,14844844.49205035
Transmission Cost,3654243.84652986
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
