Year,NPV
Utility Bills,2807795465.9354863
Utility Bills (volumetric),2601984916.854595
Utility Bills (demand),153237787.3594998
Utility Bills (res),2432092649.451266
Utility Bills (work),216837760.73140413
Utility Bills (pub L2),69071101.565795
Utility Bills (DCFC),89793954.18702114
Incremental upfront vehicle cost,91213804.67882901
Charging infrastructure cost,1212664245.9804578
Charging infrastructure cost (res),625604693.7118161
Charging infrastructure cost (work L2),251042533.39176956
Charging infrastructure cost (public L2),150625520.03506178
Charging infrastructure cost (DCFC),185391498.84181038
Avoided vehicle gasoline,3165732850.418462
Vehicle O&M Savings,739666251.8185108
Federal EV Tax Credit,306930440.6796082
Total Energy Supply Cost,1140133412.236086
Energy Cost,969230247.8811762
Generation Capacity Cost,170903164.35491022
Vehicle Sales (NPV),285445.53163800354
Transmission and Distribution Cost,97873053.59811047
Distribution Cost,75182643.49283783
Transmission Cost,22690410.105272625
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
