Year,NPV
Utility Bills,48691522.95619167
Utility Bills (volumetric),45427005.88381795
Utility Bills (demand),2160924.238736654
Utility Bills (res),42710066.326528355
Utility Bills (work),2916714.230100624
Utility Bills (pub L2),911332.2184487697
Utility Bills (DCFC),2153410.1811139137
Incremental upfront vehicle cost,2844984.6429078635
Charging infrastructure cost,31280789.24231346
Charging infrastructure cost (res),16136473.754522186
Charging infrastructure cost (work L2),6474184.140317819
Charging infrastructure cost (public L2),3884510.4841906917
Charging infrastructure cost (DCFC),4785620.863282761
Avoided vehicle gasoline,84498187.3030637
Vehicle O&M Savings,19401468.035377223
Federal EV Tax Credit,9573248.185941568
Total Energy Supply Cost,32502411.315710742
Energy Cost,27970987.755979434
Generation Capacity Cost,4531423.559731287
Vehicle Sales (NPV),7378.341597181421
Transmission and Distribution Cost,9025192.293701788
Distribution Cost,7578938.317422106
Transmission Cost,1446253.9762796834
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
