Year,NPV
Utility Bills,483916228.2336799
Utility Bills (volumetric),424080101.30432767
Utility Bills (demand),50131125.638507105
Utility Bills (res),354727601.38628185
Utility Bills (work),72366236.30649132
Utility Bills (pub L2),39151398.389124975
Utility Bills (DCFC),17670992.151781786
Incremental upfront vehicle cost,17971942.285354745
Charging infrastructure cost,287877018.24986684
Charging infrastructure cost (res),101919331.98103823
Charging infrastructure cost (work L2),69260615.0183976
Charging infrastructure cost (public L2),79403070.551705
Charging infrastructure cost (DCFC),37294000.69872603
Avoided vehicle gasoline,533713741.7603312
Vehicle O&M Savings,122543134.87999801
Federal EV Tax Credit,60474795.28932235
Total Energy Supply Cost,185942325.59892336
Energy Cost,159085407.80510342
Generation Capacity Cost,26856917.793819852
Vehicle Sales (NPV),46602.317891649254
Transmission and Distribution Cost,18921034.88193832
Distribution Cost,15399430.649037164
Transmission Cost,3521604.2329011564
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
