Year,NPV
Utility Bills,1031125948.2532163
Utility Bills (volumetric),941792196.0624417
Utility Bills (demand),70212599.18226704
Utility Bills (res),880573462.9136676
Utility Bills (work),92392470.65011618
Utility Bills (pub L2),25093901.271533623
Utility Bills (DCFC),33066113.417898893
Incremental upfront vehicle cost,38331255.13510227
Charging infrastructure cost,421381646.9911496
Charging infrastructure cost (res),217373461.64906505
Charging infrastructure cost (work L2),87213328.59390771
Charging infrastructure cost (public L2),52327997.15634462
Charging infrastructure cost (DCFC),64466859.59183225
Avoided vehicle gasoline,1138308313.9394758
Vehicle O&M Savings,261360357.73653305
Federal EV Tax Credit,128982987.51866594
Total Energy Supply Cost,404665473.0332179
Energy Cost,342943849.44545656
Generation Capacity Cost,61721623.58776106
Vehicle Sales (NPV),99393.40539496427
Transmission and Distribution Cost,29674659.232062817
Distribution Cost,21939438.738308076
Transmission Cost,7735220.493754741
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
