Year,NPV
Utility Bills,43168630.600699686
Utility Bills (volumetric),39335176.49648736
Utility Bills (demand),2952420.2541180584
Utility Bills (res),36933916.69930512
Utility Bills (work),3330404.9274065783
Utility Bills (pub L2),1075111.0475687762
Utility Bills (DCFC),1829197.9264192188
Incremental upfront vehicle cost,1608246.1393640735
Charging infrastructure cost,17679607.647410043
Charging infrastructure cost (res),9120182.461817874
Charging infrastructure cost (work L2),3659147.0714618023
Charging infrastructure cost (public L2),2195488.242877081
Charging infrastructure cost (DCFC),2704789.8712532865
Avoided vehicle gasoline,47759238.564710006
Vehicle O&M Savings,10965715.125043431
Federal EV Tax Credit,5411677.519804897
Total Energy Supply Cost,17113560.03548281
Energy Cost,14494577.89604062
Generation Capacity Cost,2618982.139442185
Vehicle Sales (NPV),4170.178132164541
Transmission and Distribution Cost,1559576.8167414523
Distribution Cost,1211426.314902538
Transmission Cost,348150.5018389142
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
