Year,NPV
Utility Bills,8456489405.157932
Utility Bills (volumetric),7504790677.950356
Utility Bills (demand),748986534.497459
Utility Bills (res),7288441534.798755
Utility Bills (work),669241359.315296
Utility Bills (pub L2),212758656.9803297
Utility Bills (DCFC),286047854.06355196
Incremental upfront vehicle cost,303614094.5690308
Charging infrastructure cost,4036455913.7636137
Charging infrastructure cost (res),2082378342.438882
Charging infrastructure cost (work L2),835616385.5665553
Charging infrastructure cost (public L2),501369831.33993316
Charging infrastructure cost (DCFC),617091354.4182434
Avoided vehicle gasoline,10537417527.111689
Vehicle O&M Savings,2462042711.2566414
Federal EV Tax Credit,1021648073.6741176
Total Energy Supply Cost,4085085532.1553416
Energy Cost,3531575903.402803
Generation Capacity Cost,553509628.7525362
Vehicle Sales (NPV),950129.7273004807
Transmission and Distribution Cost,673406660.9610709
Distribution Cost,584377055.5462159
Transmission Cost,89029605.41485515
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
