Index, Month, DayOfMonth, Hour
0,1,1,0
1,1,1,1
2,1,1,2
3,1,1,3
4,1,1,4
5,1,1,5
6,1,1,6
7,1,1,7
8,1,1,8
9,1,1,9
10,1,1,10
11,1,1,11
12,1,1,12
13,1,1,13
14,1,1,14
15,1,1,15
16,1,1,16
17,1,1,17
18,1,1,18
19,1,1,19
20,1,1,20
21,1,1,21
22,1,1,22
23,1,1,23
24,1,2,0
25,1,2,1
26,1,2,2
27,1,2,3
28,1,2,4
29,1,2,5
30,1,2,6
31,1,2,7
32,1,2,8
33,1,2,9
34,1,2,10
35,1,2,11
36,1,2,12
37,1,2,13
38,1,2,14
39,1,2,15
40,1,2,16
41,1,2,17
42,1,2,18
43,1,2,19
44,1,2,20
45,1,2,21
46,1,2,22
47,1,2,23
48,1,3,0
49,1,3,1
50,1,3,2
51,1,3,3
52,1,3,4
53,1,3,5
54,1,3,6
55,1,3,7
56,1,3,8
57,1,3,9
58,1,3,10
59,1,3,11
60,1,3,12
61,1,3,13
62,1,3,14
63,1,3,15
64,1,3,16
65,1,3,17
66,1,3,18
67,1,3,19
68,1,3,20
69,1,3,21
70,1,3,22
71,1,3,23
72,1,4,0
73,1,4,1
74,1,4,2
75,1,4,3
76,1,4,4
77,1,4,5
78,1,4,6
79,1,4,7
80,1,4,8
81,1,4,9
82,1,4,10
83,1,4,11
84,1,4,12
85,1,4,13
86,1,4,14
87,1,4,15
88,1,4,16
89,1,4,17
90,1,4,18
91,1,4,19
92,1,4,20
93,1,4,21
94,1,4,22
95,1,4,23
96,1,5,0
97,1,5,1
98,1,5,2
99,1,5,3
100,1,5,4
101,1,5,5
102,1,5,6
103,1,5,7
104,1,5,8
105,1,5,9
106,1,5,10
107,1,5,11
108,1,5,12
109,1,5,13
110,1,5,14
111,1,5,15
112,1,5,16
113,1,5,17
114,1,5,18
115,1,5,19
116,1,5,20
117,1,5,21
118,1,5,22
119,1,5,23
120,1,6,0
121,1,6,1
122,1,6,2
123,1,6,3
124,1,6,4
125,1,6,5
126,1,6,6
127,1,6,7
128,1,6,8
129,1,6,9
130,1,6,10
131,1,6,11
132,1,6,12
133,1,6,13
134,1,6,14
135,1,6,15
136,1,6,16
137,1,6,17
138,1,6,18
139,1,6,19
140,1,6,20
141,1,6,21
142,1,6,22
143,1,6,23
144,1,7,0
145,1,7,1
146,1,7,2
147,1,7,3
148,1,7,4
149,1,7,5
150,1,7,6
151,1,7,7
152,1,7,8
153,1,7,9
154,1,7,10
155,1,7,11
156,1,7,12
157,1,7,13
158,1,7,14
159,1,7,15
160,1,7,16
161,1,7,17
162,1,7,18
163,1,7,19
164,1,7,20
165,1,7,21
166,1,7,22
167,1,7,23
168,1,8,0
169,1,8,1
170,1,8,2
171,1,8,3
172,1,8,4
173,1,8,5
174,1,8,6
175,1,8,7
176,1,8,8
177,1,8,9
178,1,8,10
179,1,8,11
180,1,8,12
181,1,8,13
182,1,8,14
183,1,8,15
184,1,8,16
185,1,8,17
186,1,8,18
187,1,8,19
