Year,NPV
Utility Bills,42628033.99292622
Utility Bills (volumetric),39118102.090726554
Utility Bills (demand),2691383.1978083625
Utility Bills (res),36585717.21391391
Utility Bills (work),3432501.5211464968
Utility Bills (pub L2),1049594.7408309306
Utility Bills (DCFC),1560220.517034881
Incremental upfront vehicle cost,1595746.8170374092
Charging infrastructure cost,17546996.09787763
Charging infrastructure cost (res),9051774.555714019
Charging infrastructure cost (work L2),3631701.7823042776
Charging infrastructure cost (public L2),2179021.0693825665
Charging infrastructure cost (DCFC),2684498.690476766
Avoided vehicle gasoline,47398490.00231909
Vehicle O&M Savings,10883178.14688089
Federal EV Tax Credit,5369617.849961853
Total Energy Supply Cost,16853655.215635035
Energy Cost,14317217.655540131
Generation Capacity Cost,2536437.5600949195
Vehicle Sales (NPV),4138.884864517832
Transmission and Distribution Cost,2454293.3080208846
Distribution Cost,2121698.667757245
Transmission Cost,332594.6402636403
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
