Year,NPV
Utility Bills,472984727.10322344
Utility Bills (volumetric),424330758.20886004
Utility Bills (demand),38948967.60351827
Utility Bills (res),354727601.38628185
Utility Bills (work),61434735.17603476
Utility Bills (pub L2),39151398.389124975
Utility Bills (DCFC),17670992.151781786
Incremental upfront vehicle cost,17971942.285354745
Charging infrastructure cost,287877018.24986684
Charging infrastructure cost (res),101919331.98103823
Charging infrastructure cost (work L2),69260615.0183976
Charging infrastructure cost (public L2),79403070.551705
Charging infrastructure cost (DCFC),37294000.69872603
Avoided vehicle gasoline,533713741.7603312
Vehicle O&M Savings,122543134.87999801
Federal EV Tax Credit,60474795.28932235
Total Energy Supply Cost,188209791.62106374
Energy Cost,160563347.0729283
Generation Capacity Cost,27646444.54813537
Vehicle Sales (NPV),46602.317891649254
Transmission and Distribution Cost,20260900.478440724
Distribution Cost,16402661.588279242
Transmission Cost,3858238.890161479
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
