Year,NPV
Utility Bills,463488984.2298313
Utility Bills (volumetric),423572688.1263351
Utility Bills (demand),31292850.840002116
Utility Bills (res),396520682.073869
Utility Bills (work),41284602.2939119
Utility Bills (pub L2),11236484.26837251
Utility Bills (DCFC),14447215.59367799
Incremental upfront vehicle cost,17169208.02926457
Charging infrastructure cost,188745985.38061494
Charging infrastructure cost (res),97366291.7750278
Charging infrastructure cost (work L2),39064743.342094734
Charging infrastructure cost (public L2),23438846.00525684
Charging infrastructure cost (DCFC),28876104.25823558
Avoided vehicle gasoline,509871886.267228
Vehicle O&M Savings,117068850.58459258
Federal EV Tax Credit,57773629.82606916
Total Energy Supply Cost,182012205.70378008
Energy Cost,154209201.39372686
Generation Capacity Cost,27803004.31005331
Vehicle Sales (NPV),44520.45753458884
Transmission and Distribution Cost,13372350.583641918
Distribution Cost,9875020.614046562
Transmission Cost,3497329.9695953573
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
