Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,264296.46856180456,319128.03838795243,373996.6131796704,429660.29488525866,484787.8896798876,538641.5410684771,789902.3156905741,1041123.7612445223,1294413.466080565,1549486.544086107,2047121.4029256636,2012338.145566815,1958712.681060015,1905196.9192423373,1855685.049164086,1806098.691674924,1742897.9687882534,1499899.2623013793,1258881.4749874831,1018796.7539261287
Utility Bills (res),223818.35665705922,270274.9885475478,316744.82455461187,363080.61883682857,409518.05863549054,456146.38228462375,668954.3221848446,881745.5027404011,1094234.0059440332,1306521.7832379795,1757777.285356379,1731101.620003653,1684577.1073243448,1638130.1658549102,1591940.884965902,1545961.31275931,1497164.8665282505,1286826.7681638538,1077932.715550238,869897.2431727147
Utility Bills (work),22480.653507652005,27128.934950404662,31787.47339121226,37495.885857197485,42482.644185481084,45808.2171916252,67162.46994115853,88505.47553514365,112485.26088576391,138711.9804702478,150094.96974468205,143727.2576496608,139150.7774108014,134530.01141380778,133330.15355198574,131840.70642803365,121390.25823436657,100046.33525637852,79179.61940634761,58340.285689992284
Utility Bills (pub L2),6801.978957665594,8210.181084973055,9624.732806342961,10922.627915885707,12301.013874201355,13866.96820764019,20328.518987542604,26784.906318054393,32967.73210366995,38897.10666420148,56418.924996333924,55648.58846665184,54478.480846212726,53335.8868625889,52381.03764364663,51447.161467909835,49941.83448487483,44665.52186948195,39424.96862239468,34199.30481591331
Utility Bills (DCFC),11195.479439427743,13513.933805026929,15839.582427503334,18161.162275346935,20486.172984714634,22819.9733845879,33457.00457702837,44087.8766509232,54726.46714709786,65355.673713678174,82830.22282826838,81860.67944684927,80506.3154786561,79200.85511103045,78032.97300255169,76849.5110196704,74401.00954076149,68360.63701166496,62344.17140850276,56359.9202475084
Incremental upfront vehicle cost,130248.49469434455,162794.66910686524,97523.9387165009,48761.672422066265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,144477.35900253616,253212.38825116868,253444.64035848272,253677.58922211884,253911.23693234543,254145.58558570355,1165090.9694875586,1166170.761507132,1167253.7929027649,1168340.073392584,1214850.852635894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),74615.3154756786,130758.8180675519,130866.03578493727,130973.57515547481,131081.43714412383,131189.6227187392,601359.720326526,601858.1994875055,602358.1740859679,602859.6486082259,624331.0558731759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),30021.98720317707,52599.05571373965,52629.500250774974,52660.03612142148,52690.6635996798,52721.382960373056,241610.7847840753,241752.32824953858,241894.29634539835,242036.69034554547,248133.5096923833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),18013.192321906237,31559.433428243774,31577.70015046501,31596.02167285289,31614.398159807886,31632.829776223833,144966.47087044513,145051.39694972316,145136.577807239,145222.01420732736,148880.10581542994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
