Year,NPV
Utility Bills,10858451.979247686
Utility Bills (volumetric),9891712.785650367
Utility Bills (demand),764726.6521427796
Utility Bills (res),9263056.176669782
Utility Bills (work),837714.5480524434
Utility Bills (pub L2),295829.9478838084
Utility Bills (DCFC),461851.3066416507
Incremental upfront vehicle cost,404839.16202472156
Charging infrastructure cost,4449637.518833047
Charging infrastructure cost (res),2295384.835755809
Charging infrastructure cost (work L2),920940.9253292962
Charging infrastructure cost (public L2),552564.5551975777
Charging infrastructure cost (DCFC),680747.2025503641
Avoided vehicle gasoline,12020555.83446231
Vehicle O&M Savings,2759919.7090224233
Federal EV Tax Credit,1362265.9732496785
Total Energy Supply Cost,4248022.727500371
Energy Cost,3610657.1383033344
Generation Capacity Cost,637365.5891970347
Vehicle Sales (NPV),1049.5606726973504
Transmission and Distribution Cost,327400.1130159607
Distribution Cost,241464.2469191408
Transmission Cost,85935.86609681984
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
