Year,NPV
Utility Bills,19048374.358478606
Utility Bills (volumetric),17292035.936054163
Utility Bills (demand),1364843.4274042854
Utility Bills (res),16372758.785104804
Utility Bills (work),1431021.986767721
Utility Bills (pub L2),446789.40447138366
Utility Bills (DCFC),797804.1821346983
Incremental upfront vehicle cost,716627.8133953905
Charging infrastructure cost,7882754.611858148
Charging infrastructure cost (res),4066389.8421296375
Charging infrastructure cost (work L2),1631494.4453134995
Charging infrastructure cost (public L2),978896.6671880998
Charging infrastructure cost (DCFC),1205973.6572269124
Avoided vehicle gasoline,21291755.96824186
Vehicle O&M Savings,4888965.993035903
Federal EV Tax Credit,2411421.071001147
Total Energy Supply Cost,7529416.7497800775
Energy Cost,6372315.26575068
Generation Capacity Cost,1157101.4840294009
Vehicle Sales (NPV),1859.331533205091
Transmission and Distribution Cost,873538.4948637354
Distribution Cost,725244.7469612756
Transmission Cost,148293.74790245976
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
