Year,NPV
Utility Bills,3977167996.5126495
Utility Bills (volumetric),3514436736.706257
Utility Bills (demand),369557873.0724776
Utility Bills (res),3041626791.920953
Utility Bills (work),481948950.62583524
Utility Bills (pub L2),268139788.7835604
Utility Bills (DCFC),185452465.18230087
Incremental upfront vehicle cost,236371212.4855592
Charging infrastructure cost,3786143668.254257
Charging infrastructure cost (res),1340437784.7541475
Charging infrastructure cost (work L2),910912009.036897
Charging infrastructure cost (public L2),1044305057.0766566
Charging infrastructure cost (DCFC),490488817.386556
Avoided vehicle gasoline,7019405320.778163
Vehicle O&M Savings,1611684357.3114612
Federal EV Tax Credit,795378733.1601678
Total Energy Supply Cost,2617691116.642842
Energy Cost,2275720209.165233
Generation Capacity Cost,341970907.4776086
Vehicle Sales (NPV),612911.4402446302
Transmission and Distribution Cost,711229734.4556688
Distribution Cost,602667588.8143396
Transmission Cost,108562145.64132917
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
