Year,NPV
Utility Bills,209276336.79472467
Utility Bills (volumetric),190878842.25052935
Utility Bills (demand),14515156.972759543
Utility Bills (res),178408614.7635487
Utility Bills (work),18805558.44092563
Utility Bills (pub L2),5097016.34009111
Utility Bills (DCFC),6965147.25015917
Incremental upfront vehicle cost,7736386.113408959
Charging infrastructure cost,85047650.93463644
Charging infrastructure cost (res),43872585.450234145
Charging infrastructure cost (work L2),17602306.166992884
Charging infrastructure cost (public L2),10561383.700195732
Charging infrastructure cost (DCFC),13011375.617213685
Avoided vehicle gasoline,229745123.32471743
Vehicle O&M Savings,52750462.037959106
Federal EV Tax Credit,26032598.984519158
Total Energy Supply Cost,81829523.26358302
Energy Cost,69318321.20523044
Generation Capacity Cost,12511202.058352571
Vehicle Sales (NPV),20060.615675099318
Transmission and Distribution Cost,6667538.900267025
Distribution Cost,5125783.2800073875
Transmission Cost,1541755.620259637
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
