Year,NPV
Utility Bills,82865078.12345853
Utility Bills (volumetric),76336781.48932782
Utility Bills (demand),5000258.937374989
Utility Bills (res),71425687.645698
Utility Bills (work),6379538.366227136
Utility Bills (pub L2),1999215.603818157
Utility Bills (DCFC),3060636.507715247
Incremental upfront vehicle cost,3084554.9875022536
Charging infrastructure cost,33912012.188724644
Charging infrastructure cost (res),17493812.987008832
Charging infrastructure cost (work L2),7018767.49992731
Charging infrastructure cost (public L2),4211260.499956386
Charging infrastructure cost (DCFC),5188171.20183212
Avoided vehicle gasoline,91607363.03406167
Vehicle O&M Savings,21033617.475242004
Federal EV Tax Credit,10379391.85793323
Total Energy Supply Cost,32905700.356812816
Energy Cost,27881852.7147342
Generation Capacity Cost,5023847.642078629
Vehicle Sales (NPV),7998.988167277352
Transmission and Distribution Cost,3319455.73215342
Distribution Cost,2663263.482877951
Transmission Cost,656192.2492754682
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
