Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,268131.22867326124,323759.1162256835,379423.37258711655,435870.04829960666,491790.17128251016,546456.1477496343,801363.5972215184,1056232.1960952808,1313132.4566844096,1571794.7276357692,2062798.0665276744,2027976.6998555255,1974068.7169492582,1920267.96450754,1870352.0550372298,1820366.8179422729,1757097.9138559992,1512815.7763049249,1272594.3331606297,1034957.924410382
Utility Bills (res),223818.35665705922,270274.9885475478,316744.82455461187,363080.61883682857,409518.05863549054,456146.38228462375,668954.3221848446,881745.5027404011,1094234.0059440332,1306521.7832379795,1757777.285356379,1731101.620003653,1684577.1073243448,1638130.1658549102,1591940.884965902,1545961.31275931,1497164.8665282505,1286826.7681638538,1077932.715550238,869897.2431727147
Utility Bills (work),26315.41361910867,31760.01278813571,37214.232798658355,43705.63927154546,49484.9257881036,53622.82387278255,78623.75147210278,103613.91038590204,131204.25148960878,161020.16401990986,165771.633346693,159365.81193837133,154506.8133000446,149601.05667901042,147997.15942512947,146108.83269538247,135590.20330211247,112962.84925992426,92892.47757949428,74501.45617424567
Utility Bills (pub L2),6801.978957665594,8210.181084973055,9624.732806342961,10922.627915885707,12301.013874201355,13866.96820764019,20328.518987542604,26784.906318054393,32967.73210366995,38897.10666420148,56418.924996333924,55648.58846665184,54478.480846212726,53335.8868625889,52381.03764364663,51447.161467909835,49941.83448487483,44665.52186948195,39424.96862239468,34199.30481591331
Utility Bills (DCFC),11195.479439427743,13513.933805026929,15839.582427503334,18161.162275346935,20486.172984714634,22819.9733845879,33457.00457702837,44087.8766509232,54726.46714709786,65355.673713678174,82830.22282826838,81860.67944684927,80506.3154786561,79200.85511103045,78032.97300255169,76849.5110196704,74401.00954076149,68360.63701166496,62344.17140850276,56359.9202475084
Incremental upfront vehicle cost,130248.49469434455,162794.66910686524,97523.9387165009,48761.672422066265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,144477.35900253616,253212.38825116868,253444.64035848272,253677.58922211884,253911.23693234543,254145.58558570355,1165090.9694875586,1166170.761507132,1167253.7929027649,1168340.073392584,1214850.852635894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),74615.3154756786,130758.8180675519,130866.03578493727,130973.57515547481,131081.43714412383,131189.6227187392,601359.720326526,601858.1994875055,602358.1740859679,602859.6486082259,624331.0558731759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),30021.98720317707,52599.05571373965,52629.500250774974,52660.03612142148,52690.6635996798,52721.382960373056,241610.7847840753,241752.32824953858,241894.29634539835,242036.69034554547,248133.5096923833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),18013.192321906237,31559.433428243774,31577.70015046501,31596.02167285289,31614.398159807886,31632.829776223833,144966.47087044513,145051.39694972316,145136.577807239,145222.01420732736,148880.10581542994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
